Text,Sentiment
goog explode aapl implode minte user vid year ago mark nail subject  ,1
kkd krispy kreme doughnuts inc ic xchange conference I ve // : a.m. et,1
pick fs pullback downgrade hold support close week pt .  ,1
user I pick I kkd food company dpz like run twenty,1
znga red dead enko view pf box size .  ,-1
gs enko view gs pf box size potential break  ,1
nvda enko view red dead need long short  ,-1
csx enko view pf box size   vey bullish coal stock confirm rail  ,1
goog enko w/ pf box size look like fail breakout  ,-1
user gs bullish fin rate low fed,1
user znga I use lag indicator lag stock ;),-1
goog I like close .,1
fs b o bull flag heavy vol et support today light vol short float  ,1
msft gap close continue base si rise nice pickup w/ stop major support . pt  ,1
financial continue rip easy money c approach pt  ,1
vs follow dma crossing dma trade ma great setup  ,1
user bac yeah ... easy profit slash job close win win sale,-1
new buy today watch list   nx son yep   bcei   gdp   ay sqnm total trigger week big week,1
sbx   si earththis kind stuff perk sorry!).but ... bullish wave    ,1
brainy ong sbac stock / feb collar protection ...  ,1
svu deal sure upside left,1
nvda bounce continue stock clear sma level ong   ,1
axti momentum pick w/ macd climbing si rising.obv indicator new high high week  ,1
gdot obv upwards mean big money stock slowly ong  ,1
aapl daily note  ,1
amzn daily note  ,1
c daily note   ,1
egov long . strong ma rest base room upper bolly absorb / day atr  ,1
aa fibs    friend   ,1
tsa judge dismiss massachusetts state automobile dealer association awsuit  ,1
bac trending appear slow prudent profit time  ,1
fe look like fire sell signal friday trade short tick friday low work utility later ...,-1
coh got reject cloud slight uptrend past buy enter cloud  ,1
yum look good cloud stop sma cloud target sma  ,1
eqix expe fb gs hog mon pii qcom qih soda idea week   favorite setup eqix  ,1
eqix position like breakout . prefer consolidation  ,1
time contraction aap.down test week weds.long janth / spread  ,-1
aap bounce come   ,1
fs en fuego   ,1
axa sell oscillate ange .... indicator suggest buy price hold prev close increase volume,1
I hold check user bullish macd cross bbg cop eni eog jec ig sfy xe xop,1
jds beautiful trend . bring dip buyer,1
ko trouble stay day sma past week short high stop  ,-1
mako red day monday break support test old low .  ,-1
hour advanced opt mako fod gnmk jds ege amn px aay ddd sv pm bks f,1
goog simple fibonacci projection close . .  ,1
I buy aap monday  ,1
user amzn measure  ,1
user ino pipeline partnership ni mk -- pretty sum ...,1
amzn datum company retailer   new post I   ,1
trading environment favor long stay welcome quality leader gs amh ocn egn hov aap  ,-1
aap amazing run I think   ,1
tale stock   aap goog spy qqq,1
f ford powerful bullish pattern dictate price direction  ,1
dt descend triangle ower high participate rally overbought   ,-1
vmed know prefer day pullback reverse maybe mon tuesday flag break sup  ,1
kid legible version currently long fs tweet friday  ,1
ford perform hurricane sandy destruction f palladium pa bank buy pick bac c san gs,1
gs buy pullback big pullback,1
ceg watch list,1
I wish tv die like newspaper tell I   cbs ftw,1
I think aap head check support,-1
amzn ..... yap yap yap,1
sndk pattern look interesting successfully break gap time  ,1
amzn time high pre market aapl plunge   interesting trading day,1
risk es_f . . bearish momentum divergence resolve spx spy stock   ,-1
user onxx strong price vol expansion friday possibly look high price   biotech level,1
znga momentum build upside watch,1
es watch list fast today   volume ave day usually tiny volume  ,1
twi like long short ...  ,1
"green weekly triangle heo, .... pdate  ",-1
eog min pullback breakout watch / position    ,1
zcs hit stop loss ... glad head,1
aap close short nice gain,-1
v beautiful uptrend june break higher high high low trend  ,1
awesome aap trendline   ,-1
ddd ong   . trail stop   . prior stop . . . . . . .  ,1
nx large watch list gainer new buy friday big mover today protect gain  ,1
"green weekly triangle ktos, .... pdate  ",-1
ak correct I pphm   large watch list gainer today gap big open   ,1
aap positive close today bullish I look possible ong set,1
ceg possible ong today want play jpmogan biotech conference,1
fme ong   . trail stop   . prior stop . . . . . ... . .  ,1
I ma friday upside orange dot traget hit morn red dot  ,-1
triggered target .-.,1
sxc break key downward channel level ikely high  ,1
follow young man user amzn datum company retailer   new post I   ,1
ovti downgrade sept th . q look good filing q end feb  ,-1
vs option trader sell k . . spread march big bet stock . march expiry,-1
"aa option trader bet bad earning sell , jan c buy , jan p hedge stock trade low oi",-1
skx q operational cash flow negative million million decline vs.q,-1
skx mos operational cash flow negative million million decline vs. mos,-1
"ed weekly triangle snss, ..... pdate  ",1
trade come vacation hot short . stop .,-1
"green weekly triangle scc, .... pdate  ",-1
podd break new wk high decent base  ,1
horseman high beta momo chase fs gmc nfx slam bit advanced tell new year party mrkt,-1
pna look like solid set,1
buy pullback gs ceg fb f,1
"amazon break , adjust split   user amzn",1
financial xf drive mkt higher today weak ish jpm st time little red flag ...,-1
I ve broadcast long signal pcn cover discount buy need push  ,1
amzn vome big boy grab stock high price come,1
twi high september  ,1
user win gold stock contest w v   win silver w tkc ddaif win  ,1
amzn fb pick high price week break considerable volume,1
eceryone want piece pcn gorwth magic ... stake high ... innovation fast marketing stake high  ,1
user scheplick easy short amzn buy ipad mini tax prep book border ackspace time.;-,-1
open position s today cup handle fly . quickly,1
cs kos positive .... nice reversal kos,1
axp try interesting,1
ma strong follow day break new high friday confirmation solid  ,1
v new high look high price  ,1
ceg strong breakout new high today x daily avg volume ook good upside  ,1
wetf cheap financial stock try b o. like pullback consolidation  ,1
nfx short paranoid close buyout come night aapl msft goog amzn etc   dominate webtv long nflx,1
session hour buyer money need work ... money flow ... spy tt es_f,1
user stock tell new trend lot e aap anticipated year,1
rax set   spy,1
pcn long entry  ,1
"green weekly triangle ampe, .... sell short .  ",-1
"green weekly monthly triangle fws, .... pdate monthly  ",-1
"green weekly monthly triangle pab, .... pdate  ",-1
. great level close goog,1
aap short term outlook possible scenario bullish  ,1
barclay upside case csod year end price target   base x cy' revenue upside estimate achievable,1
ctxs conservative swing bounce nicely support w volume   mcp aggressive swing strong probability,1
user amzn time bird fly south  ,-1
vvs technical positive continue climb si obv macd look good I  ,1
akx b . like base action spot decline vol ripe pop  ,1
hao b . price reject . today high /  ,1
hway b . nice base spot  ,1
yum premarket cloud support .   ,-1
multi day downswing es_f favor demand zone . . spx spy stock   ,-1
mon sale buyer weakness look like game ...,1
fin mos operational cash flow decline million vs. prior yr mos   decline,-1
ayi q operational cash flow turn negative,-1
ayi st negative operational cash flow quarter quarter novemebr,-1
ayi q operational cash flow negative . million decline million vs. q   decline,-1
. bid hit aapl I expect today :),1
mon q operational cash flow . billion   million increase vs q   increase,1
fio air stock . .  ,-1
aap daily fade motion people want work ...,-1
I short nfx . stop,-1
catch user hot ink totally hook morning great read   aap maco,1
ihs year end operational cash flow decline million vs.   . decline,-1
watch xf jpm bac od closely ...,-1
unit cost . bounce ctic,1
little whip pop drop purchase avg day limit exposure portfolio ctic,1
shd short big exit imo ... sit,-1
like gag new american socialism enjoy video courtesy aig  ,-1
user mr florida hope   trade save past I m ask   like   ooke fill gap,1
shd ... die ampert know sh*ts run retail buy sear property ...,-1
wn ong   . trail stop   . prior stop . . . . . .  ,1
deck short   . trail stop   . prior stop . . . . .  ,-1
nice base building . -. ctic test hod afternoon set nicely follow tomorrow tradeoftheweek,1
million share ctic x avg daily vol I think day story gap . plenty rm run imho,1
shd eddie ampert trick pony ...,-1
et angry anecdotal comment begin I think blackberry m doom   imm aap goog nok t vz,-1
user I think aap long term ..... course I wrong look like :-),1
I price alert www desk,-1
gg delist soon typicall pump dump story month careful day trade mil day ur stick,-1
tso option trader buy k feb p . . million bet stock feb exp hedge oi,-1
ddd ssy stop honor   .... must.not.become.bearshitter,-1
cybx consolidate near time high  ,1
ddd sentiment stock change blink eye   faint heart   long term bullish,1
mcp . strong esistance nd level ... short breakout chance,-1
aig win awsuit announce dividend reinstatement :),1
tivo buyout come sure strong late,1
big mistake I day stick gut reversal soas stick watchlist dk stp ana kog,1
ddd look easy short,-1
instinct spot think ctic hit . wk want stick morning watchlist chase,1
ax look good high price  ,1
ana conference tomorrow I guess hit . ...,1
nfx hear pjco cautious follow comscore datum follow weak december overall q traffic turn negative user,-1
se pullback initiate quick trade invest long stop tight sell   aap egn ocn amh ddd nsm,1
piper jaffray negative comment nfx cst ed box comscore q datum weak edbox netflix,-1
maybe good time buy td level appear hold key support level,1
"csn option trader buy , jan spread low oi indicate enter position . bet data bef jan",1
aa kids college fund,1
x option trader profit febp selling k k oi roll position feb p buy k .,-1
"green monthly triangle acad, .... net profit   ,. .  ",1
far good regard apo earning strategy far soon win  ,1
aa hold key spx   aa earning spx +. mo later  ,1
week aa wfc apo mon,1
aa I like spin operational cash flow,-1
apo q operational cash flow million million decline vs. q   decline,-1
"ed weekly triangle ams, .... net profit   ,. .  ",-1
cm avg tho amwd   coil breakout new high set buy stop slightly recent high,1
user jemberlin number good swing personally I hate amd,-1
spy spx es   green hedge star model stop . spx . low,-1
swhc look like ban large capacity magazine hurdle purchase table politician   evening news,1
aa q operational cf decline m vs. q' decine p spin high q note q m q',-1
ht close sma barely rd time oct- ep way- watch volume  ,1
user pwe crazy hao green weekly triangle short long,-1
wt huge seller today ... check daily ... hold loook good swing,1
aj . good volume   ,1
cybx break time high accompaine strong volume suggest high level  ,1
onty looks poise bounce si start turn macd cross signal  ,1
trade uptrend channel short term uptrend intact I bullish nvda  ,1
vvs vivus ceo eportedly acquisition inevitable talk deal eporter j.p morgan  ,1
user c      runner     ,1
v long growth stock holding month counting ...,1
fio bounce morning short interest air till .s  ,-1
tol doji yesterday mean lower high wait   close cloud short   ,-1
amwd set nicely .   strong building construction product group apog,1
tab I like real reason new contract pick slack small cell tech software service,1
fs buy signal trigger,1
anf radar .,1
dgi ftd   pivot range . .,1
hpq option trader buy k aug p . k bet stock aug expiration stock hedge,-1
faf new high hold need volume,1
n perfect day reversal candle daily,-1
voc actually triggerd yesterday close line today itstrye vol   ,1
wfm add small   prefer level lay short,-1
mas watch list break flag today- line volume day ave  ,1
cmg m descend triangle avg volume  ,-1
user ddd break bear flag upside .... ots short understand momentum catch stdy,1
ssy maybe share outstanding short .. .... million operational cash flow ttm trading . bil mkt cap,-1
ssy operational cash flow decline ttm vs. ttm,-1
cover / wac short . look lower book ...,-1
"vtx option trader buy , spread april strike big bet stock hedge",-1
fs hour nice bounce ichard   ,1
gnc nice inverse head shoulder nice pullback support previous box breakout,1
user I hate average I end screw good I nn,-1
da nice run entry stop breakeven  ,1
"ed weekly triangle ctic, .... net profit   . .%), ... gly wait month  ",-1
cw clearwire corp arge trade bearish interest despite dish bid  ,-1
apo strong push support w volume,1
watch list hao slip line I watch volume day ave  ,1
bearish thing I week good overall market jpm spy es_f  ,-1
user bullish sell buy bearish market buy sell nx,-1
voc watch list add tuesday run day ema vol increase   ,1
ana breakout y hold today present jpm conf today :est  ,1
trade idea buy esc   . target . cut .   ,1
swks decision come soon ... expect break ... ... look si macd tix  ,1
small dose reality ctic  ,-1
"vs option trader close feb c sell k k oi open position feb c sell k hard bid vs. oi ,",-1
year ago apple introduce iphone world remember aapl sixyearsold,1
ew long ew . ook like ready w breakout consolidation  ,1
ebay basing  ,1
chk thank jpm upgrade   ,1
dec bb&t cm initiate ssy buy   wonder buy day,-1
user ssys   eache si   crash near,-1
ssq pull suspect uckily sell near . tweet watch . bck  ,1
user day ma ipo I triple position ipo price touch probably good stock ...,1
aap p&f bullish ...   ,1
aap support break I hesitate sell lot downside favor long  ,1
user eader ead bac question ... aap break week medium outlook look bright,-1
"green weekly triangle depo, .... scale .  ",-1
intel tobacco stock? ... interesting read analogy ... intel I guess dividend tasty   intc,1
"green weekly triangle fnfg, .... scale .  ",-1
faf ong   . trail stop   . prior stop . . . ... . .  ,1
swy inside day hold sma rsi hold look like counter trend,1
despite weakness aap spy fill day gap reverse mere . away   stock outperform aap day,1
user shoot yhoo,-1
wpi buy look counter trend possible bear wedge happy close day sma evaluate,-1
mon monthly game ...  ,1
ha eps estimate slash squeeze stock crash land look low  ,-1
tso long crack spread low short vo good short  ,-1
aap pain gain stay high low  ,-1
geoy trade . share worth . share dgi . x . .  ,1
china fix e stdy,1
chk good info user user s&p thing rip imo,1
like skypeople fruit juice sp aap wait,1
wh consolidate high gap support immediately price    ,1
  mt beav --- set possible high price,1
mgm catch ange user   ,-1
new post I peter ynch'd stock   md,1
fsc ex dividend tomorrow pay monthly . share payment jan st . yield,1
user dtradingtrader I .mio expend race offer depo,-1
voxx user stock kudo friend,1
mcp perform expect red flag raise month I tell ...,-1
swy wsj cerberus supervalu strike deal source bid swy,1
se shot ceco sm aci dmnd n gcy bbg ef tm eoc xco vccf pq axas pst p kcg mnta nav pac,-1
aap daily pop vomit motion ...,-1
mcp catch knife think survive define risk buy january eap option forget till ...,-1
px ong   . trail stop . stop . . .  ,1
aap ... I min candle row far,-1
aap red amazing time pattern repeat ...,-1
user u miss low :) mcp,-1
gdot new higher high macd bullish cross obv trend upwards.time fill gap   ,1
size position znga,1
fce trigger tue gap d today imo think profit   ,1
goodbye faf act weak I like,-1
likin msft neg dvrgnce+hammer today goin quadruple long w/ stop  ,-1
wfc miss I add,1
bac wait setup ook like retest . sure,-1
mcp lot red flag ceo abruptly fire permanent replacement attention ...,-1
aap bounce hard,1
gs look super strong,1
wait w school user jmba airport location generally pack good news user,1
gs want high,1
aap watch cs tell aap imo,1
bk add long,1
user long nfx . expire tomorrow . + need greedy expire tomorrow,1
jnp add long,1
cee min retest   ,1
aap trim / short exposure level,-1
aap low high low low intraday ... big near term support,-1
cult apple die   aap,-1
zion ... look base breakout ... touch triangle  ,1
hpq ocket noon,1
hpq ook volume nice .,1
x long exposure   . area bullish t look stock rip n dip rhythm want dry powder trade,1
user sweet money I need . scale sell short csn,-1
hpq man option cheap,1
user user shoot yhoo lololol,-1
user I lose holding open recoup aap fb buy,1
te new short board utility sector,-1
user trr_x nice face check hban green weekly triangle sell short,-1
"green weekly triangle hban, .... sell short .  ",-1
user yea csn portfolio scale fix cost end profit,-1
bac . wait pullback .. today .. ;-),1
aap pivot today bullish tomorrow,1
aap attention strength actually jump,1
es spy spx hold breakout es future,-1
aap catch leak news :,1
wfm lift rally look like possible bear flag adding short,-1
"ed weekly triangle hek, ... net profit   ,. .  ",-1
v interesting reversal today,-1
bac cash -->i listen siren r trade overnight gapp ... I promise ;-),1
hpq . ask tomorrow :),1
sdjpy breakout close isk rally equity trader ski earning   es spy spx,-1
market underperform day thank ddd ssy position   stay long d printing   aap I green   upside come,1
"green weekly triangle hek, ... sell short .  ",-1
fs solar market ise percent deutsche bank predict  ,1
nice user huge volume ms breakout today,1
price action aap die earning multiple chance break,1
bn bish announce increase holiday sale  ,1
cs nice dma nice base structure daily weekly pattern,1
ocz -ces vegas nevada january th th progress,1
user t user user game readyscoregoal company ... canadiangrown,1
tell ... user nice look diverse list week high jnj mmm gs oc f wag de,1
alarm bell ring ddd investor ed flag highlight detailed research article  ,-1
aap marketing chief phil schiller   resort cheap iphone expand market share ete,-1
squeeze squeeze slow grind high continue spy . es_f wfc deliver good tomorrow ...,1
hsa come .....,1
user hsa good day,1
yhoo cramer kiss death thank bro I bac jds cramer nudge user kifmonster,-1
mgm hold long term resistance user mgm catch ange user   ,-1
aon continuation good volume  ,1
nfx   . .  ,1
zc . good volume  ,1
es spx spy star hour,-1
doji like candle close today f signify possible retracement . fib level watch closely bull run,1
swhc continue accumulate mar pull .,1
isis continue volume high . easy big green,1
user tso fool day esp large drop trend stop I good,-1
sm decent base ook poise break,1
user nfx   -- I let   wkly cas vey green ed   good hold,1
tso user attach fib old resistance stop upward   stay  ,-1
cgi ove trucking co. buy pullback   ,1
qcom good play samsung snapdragon anti aap play   good tech play  ,1
qcom view w/ blue sky  ,1
student debt trillion dollar bubble   sm nni,-1
cof approach key resistance level . break accelerate stock price  ,1
aon uptrend july thursday break suggest continuation upmove  ,1
gdot w/ bullish macd cross bullish si action matter time  ,1
bac fail break uptrend continue,1
user financial xf +. ytd wells fargo wfc deliver moon today expectation,1
small step send cable tv quality content exclusive nfx wait return ad  ,1
ong setup sm  ,1
user ddd d system win cnet good ces award cubex d printer,1
compq spx aap fb bac gd sv characteristic successful trader  ,1
nkd sina breakout stock watch list today   buy high sell higher,1
msft . gap fill jan ~  ,-1
ms morgan stanley hit st bull signal target dec  ,1
jcp cash flow distress sound good ... bs downgrade sell,-1
market wrap video addition watch ist   include aeg di ipx ng onty qih st xxia,1
goog far good premarket average help today,1
hpq think new mutual fund money,1
x add little,1
dk darvas box eye volume,1
gf open new position . new uptrend start  ,1
bac effect wfc ... shod half hour ... I moderately bullish,-1
user ng long setup   ,1
trend outsourcing ... workforce ... extremely strong especially medical industry ... asgn lot room grow   drogen,1
aap climb ish small step backward wedge form breakout imminent,-1
I hate reduce ddd position today big portfolio bullish,1
aap short exposure /,-1
healthy desirable   eventually little handle shakeout climb present . pivot stdy,1
"ed weekly triangle mh, ... net profit   ,. .  ",-1
time goog warming lamp heat languish  ,1
"green weekly triangle mh, .... sell short .  ",-1
goog average trade lag actually near low want strong support,-1
oc ose mkt share jds   t look low price miss earning  ,-1
wfc I think green point today,1
user dtradingtrader . I sell depo,-1
action short key . short cat stop . ike trade ot,-1
mdso ong   . trail stop   . prior stop . . . . . . .  ,1
talk   low priuced stock flying- fce buy tuesday   gain way overbought  ,1
wpi whoopie stock nickname,-1
nfx develop hge cup&handle pivot,1
dnb volume spike ahead earning  ,1
s notice hge volume today thing push today runner week,1
mcp crater management tell u biz suck sort red flag people bullish   delusionnal .. youondrug,-1
user iv day today look apo green day row dec th rip tear,1
st watch list lien bit volume day average   ,1
apo green day row far new high today,1
look sustain upward momentum friday option expire interest hold aap,1
bac I hate analyst .. scrap beautiful day :(,1
big setup early week gnc probably run earning market expect huge number eport feb long,1
bac resilient stock ...,1
cat hold level beautifully today cup&handle september january good market beaks ot,1
gd try break d t line find support sma ikely need gd hold .  ,1
f . possibility market close ... power hood,1
"green weekly triangle ktos, .. pdate  ",-1
de approach level short low . fib old   ,-1
f evel ii ease bit allow possibility late day run,1
awk en fuego   ,1
user welcome tk club,1
gtat healthy pullback low volume nice run heavy volume.positive macd divergence ong  ,1
tab user alexcampbello street low  ,-1
sell / +. +. / position overnight,1
aap pricing want add short close,-1
market look strong think financial catapult spx week gs bac,1
"green weekly triangle dn, .... pdate  ",-1
demand breast implant time high good bad economy agn   old wallstrip  ,1
... offhand include growth en y spf mho itb ad ttm htz dom wk emn po sca fet bcei fxi hdb eve ...,1
wk perf stock ddd dnkn ft invn kos nkd mov ntsp ax scco sca ssy v  ,1
nkd storm week . gain dog week for   ,1
cstr find support ema   nd sma tho look short ema add cloud break  ,-1
pnra miss yest short short sma   ,-1
nkd follow fb lead un resistance user  ,1
sound random aa earning like week spx . mo  ,-1
o short setup signal fire like sma reject weekly monthly time frame look like weaken,-1
imm come xmas bb xmas share aap smart time,1
user shadowtrade I think fair analogy vhs beat beta expensive aap,-1
  bear flag    ,-1
pcn bull flag pennant    ,1
dndn nice vol expansion friday worth watch buck  ,1
I use border showroome ... I hope work tgt ... nature retail change  ,-1
aap trend emain sell signal ...  ,-1
user sv super cheap stock appear ready fill   gap current price   nice  ,1
user jmixer ino jan green weekly I close long . broker share borrow I ....,-1
user jmixer I wait . charge weapon ino,-1
ddd nice st pennant pattern   ook breakout   ,1
iwd short .,-1
aap korea hot stock g display fall talk apple order cut  ,-1
sigh aap continue qqq I love aap rebound negative news,1
aap imm apple reduce component order iphone weak demand wsj party ove,-1
aap I love I,-1
song aap bull  ,-1
today day aap break rest market care change ... divorce qqq spy,1
aap thing ask today day buy feb ...,-1
aap short cover blow system route nyseaca est offerd,-1
aap / short cover,-1
cs play low,-1
short aapl friday ..... gutsy news need,1
aap great long term buy   ignore noise,1
thank amzn pricing fire nov et phone wireless service customer win,1
jnp act add,1
aap bearish news start new downleg  ,-1
amzn momentum buy aap goog close push quickly,1
"green monthly triangle chtp, ..... net profit ,. .  ",-1
pcn wait close involve watch vome confirm uptrend continuation,1
aap send reminder nok,-1
cmg good low risk reward short descend trend line core short bear  ,-1
coh close extremely bullish watch,1
